Range [NM],Range [km],Payload [kg],Fuel [kg],Take-off Mass [kg],DOC,ASK,Engine Cost Share,Capital,Crew,Maintenance,Fuel,Payload Handling,Landing Fees,ATC Fees
770,1426.04,31220.0,1919.4792452830152,111971.47924528302,47318146.37004382,0.06617050662219251,0.188,15226246,6843652,6601488,9416069.573277812,1241049.5441832885,3957550.292995253,4032090.959587466
780,1444.5600000000002,31220.0,1944.407547169816,111996.40754716982,47359023.1184079,0.0657887613869058,0.188,15226246,6843652,6586875,9478888.632250965,1232455.8988774915,3983952.985043139,4006952.602236303
790,1463.0800000000002,31220.0,1969.3358490566025,112021.3358490566,47399392.24425184,0.06541667909384188,0.188,15226246,6843652,6572442,9540929.244737754,1223968.745026711,4010028.4979961873,3982125.7564911908
800,1481.6000000000001,31220.0,1994.2641509434034,112046.2641509434,47439264.450278245,0.06505389919993457,0.188,15226246,6843652,6558187,9602205.791265143,1215586.1153753244,4035782.8759535532,3957604.667684226
810,1500.1200000000001,31220.0,2019.1924528301897,112071.19245283019,47478649.12822208,0.0647000775372739,0.188,15226246,6843652,6544107,9662732.300318636,1207306.0908269356,4061222.0150523693,3933383.7220241344
820,1518.64,31220.0,2044.120754716976,112096.12075471698,47517554.36830902,0.06435488527343021,0.188,15226246,6843652,6530198,9722522.459049873,1199126.798979637,4086351.6679679207,3909457.442311594
830,1537.16,31220.0,2069.049056603777,112121.04905660378,47555988.96837008,0.06401801063925645,0.188,15226246,6843652,6516457,9781589.62359511,1191046.4127144136,4111177.44825056,3885820.483809992
840,1555.68,31220.0,2093.9773584905633,112145.97735849056,47593962.44262743,0.06368915795342683,0.188,15226246,6843652,6502882,9839946.82902164,1183063.1488344504,4135704.834506253,3862467.630265085
850,1574.2,31220.0,2118.9056603773643,112170.90566037736,47631481.03016614,0.06336804139430671,0.188,15226246,6843652,6489468,9897606.798918366,1175175.2667531995,4159939.1744272667,3839393.7900673104
860,1592.72,31220.0,2143.8339622641506,112195.83396226415,47668554.703102976,0.06305439356825678,0.188,15226246,6843652,6476214,9954581.954643657,1167381.067229207,4183885.688679252,3816593.9925508555
870,1611.24,31220.0,2168.762264150937,112220.76226415094,47705190.174466826,0.06274795539855627,0.188,15226246,6843652,6463116,10010884.424246645,1159678.891145738,4207549.474650643,3794063.384423799
880,1629.76,31220.0,2193.690566037738,112245.69056603774,47741395.90580111,0.062448482077988386,0.188,15226246,6843652,6450172,10066526.051073726,1152067.1183333853,4230935.510070031,3771797.2263239636
890,1648.28,31220.0,2218.6188679245242,112270.61886792452,47777179.11449989,0.06215573844023472,0.188,15226246,6843652,6437379,10121518.402073769,1144544.166433887,4254048.656496907,3749790.8894953267
900,1666.8000000000002,31220.0,2243.547169811325,112295.54716981133,47812547.78088945,0.0618695009747431,0.188,15226246,6843652,6424735,10175872.775814926,1137108.4898034902,4276893.662690915,3728039.852580117
910,1685.3200000000002,31220.0,2268.4754716981115,112320.47547169811,47847507.655063756,0.06158955336180259,0.188,15226246,6843652,6412236,10229600.210223079,1129758.578454261,4299475.167864518,3706539.6985219014
920,1703.8400000000001,31220.0,2293.4037735849124,112345.40377358491,47882067.26348588,0.0613156924110919,0.188,15226246,6843652,6399881,10282711.490055066,1122492.957031819,4321797.704823759,3685286.11157523
930,1722.3600000000001,31220.0,2318.3320754716988,112370.3320754717,47916232.91536242,0.06104772109450081,0.188,15226246,6843652,6387667,10335217.154115234,1115310.183828041,4343865.703001581,3664274.874417567
940,1740.88,31220.0,2343.260377358485,112395.26037735849,47950010.708802275,0.0607854506818553,0.188,15226246,6843652,6375591,10387127.502227498,1108208.8498273455,4365683.491387969,3643501.865359463
950,1759.4,31220.0,2368.188679245286,112420.18867924529,47983407.53676626,0.06052870156563443,0.188,15226246,6843652,6363651,10438452.601970937,1101187.5777852382,4387255.301360992,3622963.0556490873
960,1777.92,31220.0,2393.1169811320724,112445.11698113207,48016430.09281672,0.06027730156566885,0.188,15226246,6843652,6351845,10489202.295188846,1094245.021337845,4408585.269422617,3602654.5068674115
